               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11158,            0.022606,                   0,               0.002,             0.57143,            0.016777,           0.0049892,            0.071207,           0.0083922,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11167,             0.02181,                   0,               0.002,             0.57143,            0.013062,           0.0044473,            0.070801,           0.0084212,                   0,            0.091891,          0.00089109,          0.00089109
                   2,              0.1102,            0.023905,                   0,               0.002,             0.57143,           0.0017841,           0.0005369,            0.070173,           0.0084631,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.10871,            0.022696,                   0,               0.002,             0.57143,           0.0019053,          0.00063838,            0.069822,           0.0084857,                   0,            0.082844,           0.0018436,           0.0018436
                   4,             0.10802,            0.026709,                   0,           0.0018333,             0.52381,           0.0017231,          0.00060542,            0.069477,           0.0085066,                   0,            0.078305,            0.002305,            0.002305
                   5,             0.11019,            0.022386,                   0,           0.0018333,             0.52381,           0.0014441,          0.00052629,            0.069312,           0.0085211,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.099178,            0.024728,                   0,              0.0005,             0.14286,          0.00029536,          6.7902e-05,            0.068993,           0.0085485,                   0,            0.069198,            0.003198,            0.003198
                   7,             0.10531,            0.024035,                   0,              0.0005,             0.14286,          0.00028629,           6.601e-05,            0.068783,            0.008563,                   0,             0.06463,           0.0036297,           0.0036297
                   8,             0.10687,            0.021843,                   0,          0.00066667,             0.19048,          0.00039907,          0.00010685,            0.068527,            0.008584,                   0,            0.060052,           0.0040515,           0.0040515
                   9,             0.10364,             0.02499,                   0,               0.002,             0.57143,           0.0019037,           0.0005385,             0.06834,           0.0085985,                   0,            0.055463,           0.0044634,           0.0044634
                  10,             0.10324,            0.025184,                   0,               0.002,             0.57143,           0.0019053,          0.00060043,            0.068169,           0.0086114,                   0,            0.050865,           0.0048654,           0.0048654
                  11,             0.10688,            0.023678,                   0,           0.0021667,             0.61905,            0.002174,          0.00052825,            0.067979,           0.0086323,                   0,            0.046257,           0.0052575,           0.0052575
                  12,             0.10334,            0.024557,                   0,           0.0021667,             0.61905,           0.0022189,          0.00058957,            0.067896,           0.0086323,                   0,             0.04164,           0.0056397,           0.0056397
                  13,              0.1011,            0.025473,                   0,               0.002,             0.57143,           0.0019685,           0.0005183,            0.067768,           0.0086468,                   0,            0.037012,            0.006012,            0.006012
                  14,             0.10045,            0.026754,                   0,           0.0021667,             0.61905,           0.0022664,          0.00053152,            0.067612,           0.0086662,                   0,            0.032374,           0.0063744,           0.0063744
                  15,             0.10068,            0.025546,                   0,           0.0021667,             0.61905,            0.002236,          0.00048079,            0.067498,           0.0086807,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.098656,            0.026595,                   0,               0.002,             0.57143,            0.001973,          0.00043855,            0.067298,              0.0087,                   0,            0.023069,           0.0070694,           0.0070694
                  17,              0.1008,            0.027275,                   0,           0.0016667,             0.47619,           0.0015467,          0.00038373,            0.067185,           0.0087145,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.099509,            0.025113,                   0,           0.0016667,             0.47619,           0.0015329,          0.00034979,            0.067014,           0.0087403,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.099415,            0.028316,                   0,               0.002,             0.57143,           0.0022646,          0.00042568,            0.066612,           0.0087693,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,             0.09586,             0.02634,                   0,           0.0021667,             0.61905,            0.002723,           0.0005552,             0.06634,           0.0087838,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.098756,            0.028785,                   0,           0.0021667,             0.61905,           0.0028616,          0.00055277,            0.066012,           0.0087599,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.096631,            0.025901,                   0,           0.0023333,             0.66667,           0.0037824,          0.00066748,            0.066297,           0.0085707,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.094951,            0.027601,                   0,             0.02838,            0.047619,           0.0053665,           0.0017564,            0.067659,           0.0094366,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.095912,            0.025536,                   0,           0.0021667,             0.61905,           0.0022244,          0.00045739,            0.067387,             0.03475,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.088765,            0.028395,                   0,           0.0021667,             0.61905,           0.0022851,          0.00052845,             0.06933,            0.082623,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.094449,            0.027325,                   0,              0.0025,             0.71429,           0.0030108,          0.00060769,             0.06656,             0.10875,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.093088,            0.028494,                   0,              0.0015,             0.42857,           0.0013947,          0.00024711,            0.068007,             0.51874,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.096567,            0.034576,                   0,           0.0013333,             0.38095,           0.0011214,          0.00033192,            0.068911,              1.0203,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.091592,            0.024718,                   0,           0.0011667,             0.33333,          0.00086706,          0.00024581,            0.071002,              1.8706,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.092812,             0.03185,                   0,          0.00066667,             0.19048,          0.00042337,           0.0001642,            0.069042,              2.7298,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.087743,              0.0258,                   0,          0.00033333,            0.095238,          0.00018428,            5.44e-05,            0.062429,              4.4044,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.090098,             0.02868,                   0,               0.001,             0.28571,          0.00069558,          0.00013397,            0.060932,              4.2859,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.091857,            0.029031,                   0,           0.0013333,             0.38095,          0.00093975,          0.00024326,             0.06081,               2.782,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.091335,            0.025553,                   0,           0.0013333,             0.38095,          0.00095879,          0.00024716,            0.060729,              1.7532,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.085967,            0.030977,                   0,            0.015564,             0.19048,           0.0082763,           0.0033547,            0.061097,             0.33668,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.08506,            0.031833,                   0,                 0.4,             0.19048,             0.14784,            0.043126,              0.0598,             0.11383,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.089313,             0.02883,                   0,               0.255,             0.19048,             0.14469,            0.055543,            0.059832,            0.087722,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.087573,            0.026767,                   0,              0.1501,              0.2381,             0.14871,             0.03627,            0.058595,             0.11725,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.084974,            0.031296,                   0,               0.125,             0.19048,            0.051588,            0.024572,            0.060724,             0.24572,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.082467,            0.028392,                   0,            0.020381,             0.28571,            0.016958,           0.0046391,            0.056455,             0.23941,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.087971,            0.028861,                   0,             0.05814,              0.2381,            0.030106,            0.011564,            0.051958,             0.18335,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.084025,             0.02822,                   0,            0.029221,             0.33333,            0.024884,           0.0093425,            0.050501,             0.15739,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.085769,            0.027576,                   0,             0.36364,             0.19048,             0.14412,            0.051108,            0.048024,            0.072895,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.082956,            0.026858,                   0,             0.36364,             0.19048,             0.15286,             0.06126,            0.047569,            0.043554,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.083786,            0.027889,                   0,                 0.5,             0.19048,             0.17032,            0.077586,            0.047249,            0.030504,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.080642,            0.029021,                   0,                 0.8,             0.19048,             0.22487,            0.086619,            0.046364,            0.027727,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.083349,            0.026311,                   0,             0.42277,             0.19048,             0.19295,            0.080139,            0.044573,            0.010837,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.083134,            0.029964,                   0,             0.27155,             0.33333,             0.24608,            0.074819,            0.045241,           0.0091006,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.07942,            0.032551,                   0,             0.19779,             0.28571,             0.15719,            0.052307,            0.044356,           0.0091634,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.075565,            0.026062,                   0,             0.37531,              0.2381,              0.1756,            0.044997,            0.046387,           0.0096873,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.078811,             0.02881,                   0,             0.13142,             0.42857,             0.15179,            0.039716,            0.040216,            0.011301,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.078509,            0.025326,                   0,             0.31201,             0.28571,             0.19918,            0.052963,            0.039982,            0.012263,                   0,            0.004951,            0.004951,            0.004951
                  53,             0.07975,             0.03395,                   0,             0.47746,             0.28571,             0.28643,            0.071183,            0.039487,            0.011968,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.077006,              0.0285,                   0,             0.55847,              0.2381,             0.30783,            0.074637,            0.039237,            0.012088,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.078745,            0.028964,                   0,             0.24546,             0.47619,             0.21898,             0.06183,            0.038715,            0.011084,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.081971,            0.029024,                   0,             0.33502,             0.38095,              0.3391,             0.10691,            0.039639,            0.010194,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.07489,            0.026768,                   0,             0.40376,             0.42857,             0.42294,             0.13252,            0.042782,           0.0096785,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.074307,            0.029893,                   0,             0.17379,             0.47619,             0.18821,            0.068268,            0.044667,           0.0099379,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.074683,            0.029365,                   0,             0.12487,             0.40105,             0.13423,            0.042038,            0.043424,            0.010763,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.077166,            0.027242,                   0,             0.27427,             0.38095,             0.26609,            0.080094,            0.041682,           0.0094141,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.066479,             0.02726,                   0,             0.18901,             0.38095,             0.27261,            0.086903,             0.04014,           0.0091175,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.074622,            0.029884,                   0,             0.19371,             0.47619,             0.20978,             0.07389,            0.041198,           0.0089274,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.068295,            0.028439,                   0,             0.44449,              0.2381,              0.3397,             0.10325,             0.04156,           0.0087904,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.067202,            0.025723,                   0,             0.34727,             0.57143,             0.32241,             0.10055,            0.038889,           0.0089741,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.06944,            0.029042,                   0,             0.26618,             0.28571,             0.18416,            0.061255,            0.040691,            0.009037,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.073083,            0.027783,                   0,             0.17802,             0.52381,             0.14579,             0.04737,            0.040883,           0.0091513,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.070683,            0.028402,                   0,             0.31043,             0.52381,             0.34577,             0.11537,            0.039134,           0.0094028,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.074597,            0.027607,                   0,             0.39872,             0.61905,             0.47815,             0.15659,            0.039357,            0.009269,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.074013,            0.030703,                   0,             0.24143,             0.52381,             0.32334,             0.15516,            0.038282,           0.0097219,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.070589,            0.029746,                   0,             0.21256,             0.52381,             0.24108,             0.12347,            0.038232,            0.009622,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.072869,            0.030041,                   0,             0.21786,             0.52381,             0.29356,             0.13525,            0.039624,           0.0092673,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.070116,            0.027743,                   0,             0.33975,             0.52381,             0.38612,             0.19101,            0.039248,           0.0090918,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.071683,            0.030969,                   0,             0.37848,             0.47619,             0.31506,             0.14614,            0.039976,           0.0091304,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.072526,            0.028782,                   0,              0.2964,             0.42857,             0.31169,             0.14123,            0.038814,           0.0098992,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.069966,             0.03136,                   0,             0.22943,             0.47619,             0.23951,             0.11126,            0.037471,             0.01177,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.073583,            0.027214,                   0,             0.23281,             0.41925,             0.23488,             0.09319,            0.042075,            0.012223,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.068522,            0.028062,                   0,             0.22682,             0.38095,              0.2408,            0.097212,            0.040392,            0.012728,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.067626,            0.028375,                   0,             0.18173,             0.38095,             0.20236,            0.088064,            0.038224,            0.013508,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.069446,            0.026141,                   0,             0.24287,             0.28571,             0.24652,            0.091882,            0.036136,            0.012657,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.065398,            0.028548,                   0,             0.24349,             0.38095,             0.26686,              0.1174,            0.033277,            0.012135,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.069535,            0.029945,                   0,             0.31414,             0.54559,             0.35878,             0.15198,            0.032035,            0.011309,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.065925,            0.028133,                   0,             0.39106,             0.71429,             0.43772,             0.17156,            0.032425,            0.010176,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.065257,            0.030017,                   0,             0.30862,             0.47619,              0.3011,             0.13262,            0.033528,            0.010739,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.066614,            0.030516,                   0,             0.33819,             0.52381,             0.47373,             0.17748,            0.035091,            0.010861,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.066628,            0.027966,                   0,             0.24467,             0.52381,             0.42878,             0.18255,            0.032829,            0.011545,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.060903,            0.027208,                   0,             0.22678,             0.66667,             0.36632,             0.15492,            0.032004,            0.012146,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.062836,            0.028988,                   0,             0.35966,             0.58873,             0.42693,             0.19343,            0.029284,            0.011142,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.069407,            0.028438,                   0,               0.357,             0.42857,             0.40233,             0.19967,            0.031915,            0.010031,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.067405,            0.033581,                   0,             0.36084,             0.47619,             0.42963,             0.19161,            0.035326,           0.0098282,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.063022,            0.032772,                   0,             0.39566,             0.53017,             0.43824,             0.20087,            0.034401,           0.0099136,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.062904,            0.029576,                   0,              0.3815,             0.47619,             0.44381,             0.19816,             0.03649,           0.0096332,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.061091,            0.028149,                   0,             0.41461,             0.47619,             0.44584,             0.17231,            0.042108,            0.009256,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.066154,             0.03353,                   0,             0.43155,             0.47619,             0.43289,               0.151,            0.043679,           0.0091142,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.06796,            0.030721,                   0,             0.48852,             0.52381,             0.46898,             0.16673,            0.042078,           0.0091078,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.068508,            0.027591,                   0,              0.4881,             0.38095,             0.46129,             0.15319,            0.039895,           0.0087709,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.065043,            0.030437,                   0,             0.49978,             0.42821,             0.45094,             0.14955,            0.037292,           0.0087129,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.067019,            0.027931,                   0,             0.38879,             0.47619,              0.4535,             0.15617,             0.03567,           0.0086903,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.066377,            0.034656,                   0,             0.40385,             0.47619,             0.47797,              0.1685,            0.034569,           0.0086759,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.064429,             0.02862,                   0,             0.40609,             0.47619,              0.4768,              0.1905,            0.034004,           0.0086534,                   0,            0.000298,            0.000298,            0.000298
